Category,Match,File
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Target,target 16.2,The-Sustainable-Development-Goals-Report-2020.pdf
SDG Indicator,indicator 12.6.1,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Addis Ababa Action Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.pdf
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.pdf
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,poverty line,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.pdf
Poverty,Social protection coverage,The-Sustainable-Development-Goals-Report-2020.pdf
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.pdf
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.pdf
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.pdf
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.pdf
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.pdf
