File,Entity,Label
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,"6
Goal 1",CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,24,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2 Zero,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,26,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,28,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,32,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Gender,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,34,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,36,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,38,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,40,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,9,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,42,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,44,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,11,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,46,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,12,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,48,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,13,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,50,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,14,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,52,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Goal 15 Life,WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,54,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,16,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,56,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,17,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,58,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,60,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,62,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,63,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,"The Sustainable
Development
Goals Report",WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Across,GPE
The-Sustainable-Development-Goals-Report-2020.txt,2015,DATE
The-Sustainable-Development-Goals-Report-2020.txt,17 Sustainable,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Far,GPE
The-Sustainable-Development-Goals-Report-2020.txt,today,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the Paris Agreement,EVENT
The-Sustainable-Development-Goals-Report-2020.txt,States,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,the SDG Summit,ORG
The-Sustainable-Development-Goals-Report-2020.txt,last September,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Addis Ababa Action Agenda,GPE
The-Sustainable-Development-Goals-Report-2020.txt,Agenda,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
