Category,Match,File
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2020.txt
SDG Target,target 16.2,The-Sustainable-Development-Goals-Report-2020.txt
SDG Indicator,indicator 12.6.1,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Addis Ababa Action Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2020.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2020.txt
Climate Metrics,climate-resilient,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,poverty line,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2020.txt
Poverty,Social protection coverage,The-Sustainable-Development-Goals-Report-2020.txt
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.txt
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.txt
Education,school completion rate,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,No data,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,No data,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,No data,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,On track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2020.txt
Progress Status,No data,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,urgent action,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,Urgent action,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,urgent action,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,urgent action,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2020.txt
Action and Impact,Urgent action,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2020.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2020.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2020.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2020.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2020.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2020.txt
Biodiversity and Ecosystems,endangered species,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,Life below water,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,Ocean acidification,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2020.txt
Marine and Water Issues,Life below water,The-Sustainable-Development-Goals-Report-2020.txt
Energy Transition,Energy efficiency,The-Sustainable-Development-Goals-Report-2020.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2020.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2020.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,Unemployment rate,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2020.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,Reduced inequalities,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,Income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,Income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2020.txt
Inequalities,Reduced inequalities,The-Sustainable-Development-Goals-Report-2020.txt
Health Metrics,Universal health coverage,The-Sustainable-Development-Goals-Report-2020.txt
Health Metrics,universal health coverage,The-Sustainable-Development-Goals-Report-2020.txt
Health Metrics,universal health coverage,The-Sustainable-Development-Goals-Report-2020.txt
Progress and Performance,achieved Progress,The-Sustainable-Development-Goals-Report-2020.txt
Financial Support,development aid,The-Sustainable-Development-Goals-Report-2020.txt
Financial Support,CLIMATE FINANCE,The-Sustainable-Development-Goals-Report-2020.txt
Financial Support,debt relief,The-Sustainable-Development-Goals-Report-2020.txt
Financial Support,climate finance,The-Sustainable-Development-Goals-Report-2020.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 4,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 5,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 6,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 7,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 8,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 9,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 10,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 11,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 12,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 13,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 14,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 15,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 16,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 17,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,Sendai Framework,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,2030 Agenda,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2022.txt
Global Agreement,Paris Agreement,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Climate Metrics,greenhouse gas emissions,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Poverty,extreme poverty,The-Sustainable-Development-Goals-Report-2022.txt
Education,school completion rate,The-Sustainable-Development-Goals-Report-2022.txt
Gender Equality,gender-responsive budgeting,The-Sustainable-Development-Goals-Report-2022.txt
Gender Equality,gender-responsive budgeting,The-Sustainable-Development-Goals-Report-2022.txt
Gender Equality,gender-responsive budgeting,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,No data,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,on track,The-Sustainable-Development-Goals-Report-2022.txt
Progress Status,On track,The-Sustainable-Development-Goals-Report-2022.txt
Action and Impact,urgent action,The-Sustainable-Development-Goals-Report-2022.txt
Action and Impact,urgent action,The-Sustainable-Development-Goals-Report-2022.txt
Action and Impact,economic loss,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,disaggregated data,The-Sustainable-Development-Goals-Report-2022.txt
Data and Monitoring,data gaps,The-Sustainable-Development-Goals-Report-2022.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2022.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2022.txt
Biodiversity and Ecosystems,biodiversity loss,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,Life below water,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,marine pollution,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,Water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,water stress,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,Life below water,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,Ocean acidification,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,ocean acidification,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,marine pollution,The-Sustainable-Development-Goals-Report-2022.txt
Marine and Water Issues,Life below water,The-Sustainable-Development-Goals-Report-2022.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2022.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2022.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2022.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2022.txt
Energy Transition,energy efficiency,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,UNEMPLOYMENT RATE,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Labour Market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
