File,Entity,Label
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals,LAW
The-Sustainable-Development-Goals-Report-2020.txt,1,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,6,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,9,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,44,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,14,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,15,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,16,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,"56
Goal",LAW
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"The Sustainable
",WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,2020,WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,2015,DATE
The-Sustainable-Development-Goals-Report-2020.txt,17,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,today,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the 2030 Agenda,LAW
The-Sustainable-Development-Goals-Report-2020.txt,the Paris Agreement,LAW
The-Sustainable-Development-Goals-Report-2020.txt,the SDG Summit,EVENT
The-Sustainable-Development-Goals-Report-2020.txt,last September,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Addis Ababa,GPE
The-Sustainable-Development-Goals-Report-2020.txt,Agenda,LAW
The-Sustainable-Development-Goals-Report-2020.txt,"the Sustainable
The Sustainable Development Goals Report",LAW
The-Sustainable-Development-Goals-Report-2020.txt,the Development Goals,LAW
The-Sustainable-Development-Goals-Report-2020.txt,2030,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the beginning of June,DATE
The-Sustainable-Development-Goals-Report-2020.txt,United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,"400,000",CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,this Decade of Action,EVENT
The-Sustainable-Development-Goals-Report-2020.txt,half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19 but,LAW
The-Sustainable-Development-Goals-Report-2020.txt,workforce,ORG
The-Sustainable-Development-Goals-Report-2020.txt,More than 1.6 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,tens of millions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,recent years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report 2020,LAW
The-Sustainable-Development-Goals-Report-2020.txt,This year,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the Decade of Action,EVENT
The-Sustainable-Development-Goals-Report-2020.txt,"an
Sustainable Development Goals",LAW
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,first,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,20 years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals,LAW
The-Sustainable-Development-Goals-Report-2020.txt,millions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,generations,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19 on,LAW
The-Sustainable-Development-Goals-Report-2020.txt,"the United Nations Department of Economic and
and economic",ORG
The-Sustainable-Development-Goals-Report-2020.txt,Social Affairs,ORG
The-Sustainable-Development-Goals-Report-2020.txt,over 200,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,13 to 32 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,up to 40 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,20 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,One third,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,decades,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Agenda for Sustainable Development,ORG
The-Sustainable-Development-Goals-Report-2020.txt,"post-COVID-19
",EVENT
The-Sustainable-Development-Goals-Report-2020.txt,71 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,first,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1998,DATE
The-Sustainable-Development-Goals-Report-2020.txt,60 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,the first month,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1.6 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,world,LOC
The-Sustainable-Development-Goals-Report-2020.txt,one billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,September 2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,seventy-fifth,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"the United
Disrupted",ORG
The-Sustainable-Development-Goals-Report-2020.txt,Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the 2030 Agenda,LAW
The-Sustainable-Development-Goals-Report-2020.txt,the COVID-19,LAW
The-Sustainable-Development-Goals-Report-2020.txt,hundreds of thousands,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,tens of thousands,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,About 70,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,one,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,March,DATE
The-Sustainable-Development-Goals-Report-2020.txt,April 2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Millions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,tens of millions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Liu Zhenmin,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,90 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,370 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,this Under-Secretary-General,DATE
The-Sustainable-Development-Goals-Report-2020.txt,spring,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Economic and Social Affairs,ORG
The-Sustainable-Development-Goals-Report-2020.txt,1,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,11,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,16,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,the first five years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the most recent year,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the coming decade,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"2014
",PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G1 G2,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G3 G4,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G5 G6,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G7 G8,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G9 G10,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G11 G12,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,G15 G16,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,the years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,monthly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,quarterly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the World Bank,ORG
The-Sustainable-Development-Goals-Report-2020.txt,122,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,17,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,less than half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,194,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,65 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,90 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,96 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,sub-Saharan Africa,LOC
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,97 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,88 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,Latin,LOC
The-Sustainable-Development-Goals-Report-2020.txt,and,GPE
The-Sustainable-Development-Goals-Report-2020.txt,12,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,13,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,America,GPE
The-Sustainable-Development-Goals-Report-2020.txt,Caribbean,LOC
The-Sustainable-Development-Goals-Report-2020.txt,9,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Two,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,three,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,73,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,61 per cent,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,75%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,50%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,25%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,100,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,80,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,World,ORG
The-Sustainable-Development-Goals-Report-2020.txt,60,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p2,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,.25pt. 40,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,0p3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p1,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1p0,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,20,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,G1 G2,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report 2020,WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,international,ORG
The-Sustainable-Development-Goals-Report-2020.txt,monthly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"Western Asia
",LOC
The-Sustainable-Development-Goals-Report-2020.txt,Caribbean,LOC
The-Sustainable-Development-Goals-Report-2020.txt,One,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,the 2030 Agenda,LAW
